_id,State/UT/City,Overtaking Cases,Overtaking Injured,Overspeeding Cases,Overspeeding Injured,Driving Under Drug cases,Physical Fatigue of Drivers Cases,Defect in Mechanical Condition of Vehicle Cases,Animal Crossing Cases,Weather Condition (Total) Cases,Weather Condition (Poor Visibility) Cases,Lack of Road Infrastructure Cases,Total Road Accidents Cases
1,ANDHRA PRADESH,2185,2271,16631,16188,119,22,7,165,100,43,39,21556
2,ARUNACHAL PRADESH,65,59,120,127,3,0,12,0,8,5,6,261
3,ASSAM,886,833,4303,3237,288,5,265,50,918,468,88,7069
4,BIHAR,5039,4134,2886,2348,51,79,95,196,908,663,68,9553
5,CHHATTISGARH,3536,3258,6378,5603,145,18,83,165,220,75,94,12395
6,GOA,1752,520,957,313,122,1,5,6,0,0,0,2850
7,GUJARAT,1570,1515,12574,11068,100,199,164,91,212,109,25,15200
8,HARYANA,4115,3183,4146,3328,124,69,14,50,571,367,8,10049
9,HIMACHAL PRADESH,1418,2009,726,1054,71,1,27,0,32,26,30,2408
10,JHARKHAND,1230,903,2694,1643,204,22,178,61,73,46,197,4728
11,KARNATAKA,2773,3298,30286,35241,178,0,62,71,173,17,18,34647
12,KERALA,11333,12698,18605,20832,156,276,337,143,705,404,172,32759
13,MADHYA PRADESH,13253,12796,25408,25780,1875,303,343,546,1284,547,270,48219
14,MAHARASHTRA,8216,5783,16014,12113,311,60,348,289,437,236,270,26598
15,MANIPUR,69,95,190,269,17,0,67,0,13,9,0,366
16,MEGHALAYA,70,71,103,108,39,0,3,0,3,0,10,244
17,MIZORAM,17,2,19,14,7,0,5,0,0,0,15,64
18,NAGALAND,2,0,9,9,3,0,6,0,0,0,4,25
19,ODISHA,990,939,7105,6257,275,0,19,0,397,102,8,10983
20,PUNJAB,1130,577,3314,1601,166,88,135,199,719,565,91,6097
21,RAJASTHAN,9615,8803,9373,8619,148,134,154,160,281,105,179,20954
22,SIKKIM,36,67,40,49,11,1,6,0,6,5,3,122
23,TAMIL NADU,8960,8943,42079,42580,372,183,826,496,1131,779,83,55682
24,TELANGANA,1886,4118,17386,13075,1487,24,52,49,46,39,41,21315
25,TRIPURA,64,92,413,452,1,0,0,0,0,0,0,478
26,UTTAR PRADESH,17700,10092,7461,4399,1182,474,375,710,2242,1746,602,33711
27,UTTARAKHAND,391,298,733,610,47,28,58,1,52,36,10,1405
28,WEST BENGAL,2534,1919,3361,2933,105,65,633,91,452,259,94,11501
29,TOTAL (STATES),100835,89276,233314,219850,7607,2052,4279,3539,10983,6651,2425,391239
30,A & N ISLANDS,69,65,12,10,30,0,0,0,0,0,0,117
31,CHANDIGARH,13,16,184,151,11,0,0,0,0,0,0,208
32,D & N HAVELI AND DAMAN & DIU,96,123,34,41,5,0,0,0,0,0,2,140
33,DELHI (UT),2110,1810,1492,1254,47,5,13,15,74,57,14,4720
34,JAMMU & KASHMIR,421,526,4840,6163,0,0,0,0,30,0,0,5402
35,LADAKH,57,72,120,142,2,0,14,0,23,3,2,237
36,LAKSHADWEEP,2,5,2,1,0,0,0,0,0,0,0,4
37,PUDUCHERRY,26,0,830,662,16,0,0,0,0,0,0,1049
38,Total (UTs),2794,2617,7514,8424,111,5,27,15,127,60,18,11877
39,Total (ALL INDIA),103629,91893,240828,228274,7718,2057,4306,3554,11110,6711,,
40,AGRA,115,40,45,13,0,0,0,0,0,0,0,160
41,AHMEDABAD,0,0,1425,1056,8,0,0,0,0,0,0,1433
42,ALLAHABAD,148,108,131,86,67,23,17,7,54,32,11,594
43,AMRITSAR,32,12,65,36,0,0,0,1,0,0,0,98
44,ASANSOL,131,26,138,23,0,0,0,0,0,0,0,285
45,AURANGABAD,0,0,462,354,0,0,0,16,0,0,0,478
46,BENGALURU,118,120,3041,2658,54,0,0,0,0,0,0,3213
47,BHOPAL,1433,1102,0,0,0,0,0,0,0,0,0,1891
48,CHANDIGARH (CITY),13,16,184,151,11,0,0,0,0,0,0,208
49,CHENNAI,999,955,3711,3785,141,5,12,7,104,26,24,5034
50,COIMBATORE,0,0,729,577,9,8,0,57,17,17,0,866
51,DELHI (CITY),2026,1748,1411,1197,47,5,13,15,74,57,14,4505
52,DHANBAD,68,33,77,65,0,0,28,1,13,13,0,187
53,DURG BHILAINAGAR,0,0,623,511,2,0,0,0,0,0,0,625
54,FARIDABAD,188,160,218,194,0,0,0,0,0,0,0,538
55,GHAZIABAD,141,102,123,89,5,0,0,0,8,3,0,296
56,GWALIOR,26,26,792,720,0,0,16,0,72,0,0,1034
57,HYDERABAD,252,254,1961,1865,45,0,0,0,0,0,15,2273
58,INDORE,681,431,408,308,1,0,0,0,0,0,0,2618
59,JABALPUR,384,409,264,262,364,0,529,0,0,0,0,1802
60,JAIPUR,1166,997,942,755,31,0,2,4,0,0,0,2166
61,JAMSHEDPUR,152,134,0,0,0,0,0,0,0,0,0,152
62,JODHPUR,97,64,314,223,19,27,16,11,2,1,19,595
63,KANNUR,670,792,314,339,2,0,0,8,110,110,0,1110
64,KANPUR,315,138,212,118,0,0,6,49,9,8,0,593
65,KOCHI,978,964,660,658,2,0,22,19,43,25,39,1781
66,KOLKATA,31,16,25,11,14,3,0,0,15,6,3,1519
67,KOLLAM,764,764,786,882,2,0,0,0,0,0,0,1552
68,KOTA,5,5,357,358,3,0,0,0,0,0,0,368
69,KOZHIKODE,268,281,1091,1105,4,0,14,0,0,0,0,1377
70,LUCKNOW,738,487,137,82,20,3,19,3,17,15,2,1063
71,LUDHIANA,117,49,257,110,4,4,3,22,13,8,7,478
72,MADURAI,46,43,559,454,13,0,0,0,0,0,0,618
73,MALAPPURAM,39,48,637,697,2,0,1,0,0,0,0,686
74,MEERUT,132,100,191,120,23,0,0,0,2,2,0,348
75,MUMBAI,250,15,235,7,4,0,0,0,2,1,0,493
76,NAGPUR,507,405,504,385,13,0,0,0,0,0,0,1024
77,NASIK,0,0,33,7,0,3,11,7,47,21,18,142
78,PATNA,131,78,175,120,32,0,0,0,46,46,0,384
79,PUNE,85,23,165,48,7,0,0,3,4,4,1,304
80,RAIPUR,81,75,634,374,0,7,29,14,0,0,8,932
81,RAJKOT,0,0,346,276,0,0,0,0,0,0,0,363
82,RANCHI,0,0,84,69,99,0,0,0,0,0,0,183
83,SRINAGAR,0,0,331,347,0,0,0,0,0,0,0,331
84,SURAT,0,0,660,501,0,0,0,0,0,0,0,670
85,THIRUVANANTHAPURAM,465,465,833,884,26,0,12,19,25,24,2,1438
86,THRISSUR,220,287,1476,1580,4,0,17,0,0,0,0,1719
87,TIRUCHIRAPPALLI,34,29,353,339,1,0,1,0,0,0,0,399
88,VADODARA,23,18,436,326,5,0,0,0,0,0,0,464
89,VARANASI,41,26,36,14,9,0,0,13,6,6,0,133
90,VASAI VIRAR,70,62,276,191,0,0,0,0,0,0,0,352
91,VIJAYAWADA,124,129,1101,952,3,0,0,0,0,0,0,1228
92,VISHAKHAPATNAM,31,26,1785,1166,41,5,0,13,0,0,4,2339
93,TOTAL (CITIES),14335,12062,31753,27448,1137,93,768,289,683,425,167,55442
